level1	MM-ED-DNA-A-12-2023.reads.qc	MM-ED-DNA-A-4-2023.reads.qc	MM-ED-DNA-A-9-2022.reads.qc	MM-ED-DNA-O-12-2023.reads.qc	MM-ED-DNA-O-4-2023.reads.qc	MM-ED-DNA-O-9-2022.reads.qc	MM-HC-DNA-A-12-2023.reads.qc	MM-HC-DNA-A-4-2023.reads.qc	MM-HC-DNA-A-9-2022.reads.qc	MM-HC-DNA-O-12-2023.reads.qc	MM-HC-DNA-O-4-2023.reads.qc	MM-HC-DNA-O-9-2022.reads.qc	ZH-ED-DNA-A-12-2023.reads.qc	ZH-ED-DNA-A-4-2023.reads.qc	ZH-ED-DNA-A-9-2022.reads.qc	ZH-ED-DNA-O-12-2023.reads.qc	ZH-ED-DNA-O-4-2023.reads.qc	ZH-ED-DNA-O-9-2022.reads.qc	ZH-HC-DNA-A-12-2023.reads.qc	ZH-HC-DNA-A-4-2023.reads.qc	ZH-HC-DNA-A-9-2022.reads.qc	ZH-HC-DNA-O-12-2023.reads.qc	ZH-HC-DNA-O-4-2023.reads.qc	ZH-HC-DNA-O-9-2022.reads.qc
BAC0425|vexD|tr|Q9KR85|Q9KR85_VIBCH	0.000748482979348372	0.000252444000997152	3.74269240549929e-05	0.000767388352008038	0.000239929954400885	2.47524402585636e-05	2.22584002198954e-05	0	0	3.41227771118769e-05	6.00285753528183e-06	0	0.000100875042458838	0.000202291659430651	0	0.000101438641652197	0.000181453797098692	3.27864337745567e-05	0.000391636934942269	4.11920954395842e-05	0	0.00028054433279692	2.71950295584551e-05	0
BAC0427|vexF|tr|A6P7H3|A6P7H3_VIBCL	9.01605751803932e-06	5.81658179748315e-06	3.51046036706021e-06	8.95837386777843e-06	8.21194380020333e-06	0	3.83786567041101e-05	0.000101091727154481	8.36753920504897e-06	2.39904388852855e-05	0.000124003206236529	1.57246649610939e-05	0	2.90140423306811e-05	7.52837264479703e-06	1.03682472081363e-05	2.43342191032834e-05	1.2022744242643e-05	0.000112083128349779	8.8927872014359e-05	6.98621629758517e-05	0.000127313056051492	0.000128311331955206	5.24697818919715e-05
BAC0430|vmeB|tr|Q2AAU3|Q2AAU3_VIBPH	0.000321854641749305	0.000215910522035088	0.000147100425723174	0.000353931553776304	0.000175578889056629	0.000182779019875995	4.67218906303837e-05	3.67230255843264e-05	1.20541832114976e-05	0.000106461569687791	4.56114559732098e-05	3.98261392679776e-06	0.000115735630192367	0.000109809943156337	0.000321421689486839	0.000138795911980672	0.000203465563102459	0.000172588685150115	1.46402108742906e-05	3.79206677535405e-05	1.476430036588e-05	1.91541918062409e-05	2.14288912874031e-05	9.12531194156524e-06
BAC0432|ybtP|tr|Q9R7V3|Q9R7V3_YERPE	7.2311944823629e-06	2.71954281941325e-05	5.82026859793972e-06	1.39299666578013e-05	4.36624810946867e-05	0	1.44609949292578e-05	0	0	9.91137988227705e-06	0	0	1.71005077538675e-05	8.07471160220829e-06	1.85120173878011e-05	8.69952948307424e-06	1.88746511610658e-05	0	0	3.13378318349069e-05	0	0	9.01817396857881e-06	0
BAC0433|ybtQ|tr|Q9Z375|Q9Z375_YERPE	0	0	0	0	0	0	1.53840371587849e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BAC0434|ychH|sp|P0AB49|YCHH_ECOLI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.22225732308054e-05
BAC0435|yddg/emrE|sp|D0ZXP9|YDDG_SALT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.72089013396605e-05	0	0	3.1121845550099e-05
BAC0438|ydeP|sp|P77561|YDEP_ECOLI	0.000116405861591756	0.000207658254224264	3.47631326007818e-05	8.29641384667829e-05	0.000214219592127901	3.63689785544528e-05	1.78771024691018e-05	1.09009835853485e-05	0	1.63369813886662e-05	0	5.64039665077361e-06	3.9653351313316e-05	8.17045917061392e-05	2.41151927225154e-05	2.78010361077135e-05	3.26172848449341e-05	3.76019862319473e-05	2.64868017641564e-05	5.90023354280409e-05	7.36290817199416e-05	3.89836091296979e-05	2.91226877801216e-05	2.53200355058451e-05
BAC0439|yfeA|sp|Q56952|YFEA_YERPE	0.000186117121944476	0.000453937265176802	0.000148469874202535	0.000302033112201816	0.000562412530457977	9.36598230983904e-05	0.000316090023937734	0.000326249152837726	0.000425748197281411	0.000237596463757945	0.000279451354970451	0.000405098106538841	7.22143628619915e-05	0.000186592478181791	4.67809687169648e-05	0.000136768959103131	0.000142692532145648	5.52282732914659e-05	0.00104364079755273	0.00160801010359179	0.00165506562522445	0.00082169410080535	0.00123084470598035	0.00136072718668563
BAC0440|yfeB|sp|Q56953|YFEB_YERPE	3.19807126984109e-05	0.000158435827917769	3.82774421305945e-05	7.82918887708121e-05	0.000110225300184795	4.17653787673389e-05	9.19923843616528e-05	2.7363717224004e-05	0.000144506271322655	6.41190475420453e-05	2.14629196785133e-05	4.42746248407733e-05	0.000189492112948262	0.000144399121895346	5.15299303952399e-05	5.51537162454821e-05	0.000218434641422454	2.81343046578966e-05	0.000118239219526366	0.00038318490975115	6.60086363463412e-05	0.000236240835383054	0.000281979993985896	0.000175563477022482
