gene	MM-ED-DNA-A-12-2023.reads.qc	MM-ED-DNA-A-4-2023.reads.qc	MM-ED-DNA-A-9-2022.reads.qc	MM-ED-DNA-O-12-2023.reads.qc	MM-ED-DNA-O-4-2023.reads.qc	MM-ED-DNA-O-9-2022.reads.qc	MM-HC-DNA-A-12-2023.reads.qc	MM-HC-DNA-A-4-2023.reads.qc	MM-HC-DNA-A-9-2022.reads.qc	MM-HC-DNA-O-12-2023.reads.qc	MM-HC-DNA-O-4-2023.reads.qc	MM-HC-DNA-O-9-2022.reads.qc	ZH-ED-DNA-A-12-2023.reads.qc	ZH-ED-DNA-A-4-2023.reads.qc	ZH-ED-DNA-A-9-2022.reads.qc	ZH-ED-DNA-O-12-2023.reads.qc	ZH-ED-DNA-O-4-2023.reads.qc	ZH-ED-DNA-O-9-2022.reads.qc	ZH-HC-DNA-A-12-2023.reads.qc	ZH-HC-DNA-A-4-2023.reads.qc	ZH-HC-DNA-A-9-2022.reads.qc	ZH-HC-DNA-O-12-2023.reads.qc	ZH-HC-DNA-O-4-2023.reads.qc	ZH-HC-DNA-O-9-2022.reads.qc
gb|AAA25550.1|ARO:3003105|dfrA3	0.000511296579561	0	6.75438578032525e-05	0	5.11843560233342e-05	0	7.86295232560119e-05	0	0	0.0001077833273249	0	6.63354132182257e-05	0	0.0002851071010162	0.0002085861114118	0	0.0001072977585383	7.55024009260537e-05	0	0	0	0	0	0
gb|AAC75089.1|ARO:3003577|ugd	0.0011619384198698	0.0040531468068025	0.0012288567101629	0.0010420548511409	0.0047912377137113	0.0012393541424558	6.92281672145322e-05	6.66666419631045e-05	0	9.48961903622268e-05	9.8242642652164e-05	0.0001330794806038	0.0037982519541966	0.0019212818946285	0.0033033750208709	0.0034940279578818	0.0020567079723578	0.0034220523373001	0.0014561360142554	0.0004158229099477	0.0003094525262967	0.0008889866976499	0.0004771185701296	0.0001122021708043
gb|AAC75271.1|ARO:3003952|yojI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.53884663153355e-05	0	0	0	0.0001434540465079	0	3.15700982991208e-05	5.26999276479067e-05
gb|AAF40763.1|ARO:3003961|farA	0	0	0	0	0	0	0	0	0	4.94250991469932e-05	0	0	0	0	0	2.1257161469613e-05	0	0	0	0	4.10335945029343e-05	0	0	0
gb|AAL36430.1|ARO:3004692|aadA10	0	6.54522940893687e-05	0	0	0	0	0	0	0	0	0	0	0.0007222958148745	0	0	0.0003969214619361	0	0	0	0	0	0	0	0
gb|ABG65740.1|ARO:3002879|linG	0	0	4.17865437800809e-05	0	9.772225832262e-05	0	0	0	0	0	0	0	0	5.91553963531746e-05	0	0	0	0	0	0.0003832524630642	0	0	0.0003719443273456	5.06414906144888e-05
gb|ABO11759.2|ARO:3004573|Acinetobacter	0	4.22617376754199e-05	0	0	0	0	0	0	0	0	0	0	0.0001195839703067	0	0	0	0	0	0	0	0	0	7.72871329549385e-05	0
gb|ABV26705.1|ARO:3002849|arr-4	0	0	0	0	0	0.0001659630283949	0	0.0001707025181148	0	0	0.0001219780651169	0	0	0	0	0.0001066155102606	0.0001316836127516	0	0	0	0	0	0.0001957135627223	8.04014474394288e-05
gb|ADP36409.1|ARO:3003730|Bifidobacteria	6.62725880127866e-05	3.27557099598105e-05	8.3071584324706e-05	3.8093774304409e-05	3.94059835344016e-05	4.42880157074021e-05	0.0001966154992976	0.0003453041645954	0.0002363131396679	6.75503143680531e-05	0.0005051429017799	0.0002476627325149	0.0002888703658512	0.0001797298047682	0.0002276641094068	0.0001878050993751	0.0002273237434221	0.0001603299556769	0.0001363435986679	0.000321898351307	8.02790583836269e-05	0.0002161409562704	0.0004102715367127	0.0002088556338402
gb|ADV91011.1|ARO:3000245|RbpA	0	0	0	0.0001174716087769	0.00015812100831	0.0001091862028914	0.0004688082902598	0.0012238875493194	0.0008373572641212	0.0001664845444951	0.0006653956951279	0.0002253190030493	0	0.0002833232141125	7.82197917794421e-05	0.0002922574294425	0	0.0003355756206892	0	0.0003910578335934	0.000135454055117	0.0002128479500114	0.0002696363325431	0.0001109519332443
gb|AEY83581|ARO:3000510|mupB	0.0001048119098165	5.89716932767253e-05	5.72448489400473e-05	5.15799830262251e-05	7.38132745665853e-05	2.36073612510322e-05	0.0001948843274538	0.0001100256762253	8.63496024988491e-05	0.0002043069964816	1.58671853824657e-05	0	0.0002857258120346	7.53535526091853e-05	5.4973445142183e-05	0.0002154500267852	0.0001468533609776	0.0001196661191584	5.95938093712961e-05	9.86432704293364e-05	0.0001586367502487	0.0001061488091654	3.14282926300909e-05	0.0001250073268454
gb|AEZ36150.1|ARO:3000448|qepA	2.89453612974855e-05	0.0001752712528101	2.27799162345982e-05	8.30816815874032e-05	0.0002109476590707	0	0.0001799119492385	7.6185176721639e-05	5.05299481509127e-05	0.0001106812709508	0	1.94912321021143e-05	0.0001479143723524	9.22824183109524e-05	1.74502079507953e-05	0	0.0001499801616858	4.99094856602418e-05	0.0003607998549427	0.0007038697409797	0.0007591680726385	0.0002019601148712	0.0004007993876862	0.0005537649212691
gb|AGH88989.1|ARO:3001205|determinant	0	0	0	0	0	0	0	0	0	0.0001568532072102	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gb|AJE60855.1|ARO:3003209|FosA5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0005645277945313	0	0	0.0001036937425302
gb|AKQ05893.1|ARO:3004582|tet(49)	0	0	0	0	0	0	5.58118557388477e-05	0	0	4.7080280489787e-05	0	0	0	0.0001226855406227	9.03468912801308e-05	0.000126554263633	5.1040159981249e-05	6.59011554841953e-05	3.95658370249727e-05	0.000840847550859	0	0.0001190494863178	0.0008647808585406	0
gb|ALV80601.1|ARO:3003801|bcr-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.90338597975199e-05	0	0
gb|APB03219.1|ARO:3003986|TaeA	4.42819359084093e-05	2.74192588788581e-05	1.68859644508131e-05	6.1559196088769e-05	5.50788178946749e-05	1.84246559300872e-05	0.0003713535636384	0.0001350749800842	0	0.0002266964547542	7.94128028104993e-05	1.86062744392584e-05	0.000234868084891	0	5.35950425155437e-05	7.30102356144532e-05	8.90083678784115e-05	2.00804257782058e-05	0.0003510682999517	4.21207417135849e-05	0.0001142861595044	0.0003943624465284	0.0002451749424081	2.22429478575656e-05
gb|APB03222.1|ARO:3003992|rphB	3.14561421846927e-05	1.92788103336989e-05	3.76605615160813e-05	3.12650681105015e-05	4.77153395665098e-05	0	7.76859071004706e-05	1.47782445962364e-05	4.36660601348008e-05	0	4.3120073924253e-05	2.37199800051927e-05	0.0003547775024953	0.0004592720580984	0.0002062560346582	0.0004077982964579	0.0001300450157603	0.0001530837165209	0.0001534167248831	0.0006216335347195	0.0002933920574197	0.0001865817888166	0.000519237406557	0.0002562180548298
gb|ARB93503.1|ARO:3004603|tet(56)	0	0	0	3.58910685679507e-05	0	0	0	0	0	0	0	0	0	0	0	0.0001259035990385	4.97621878521555e-05	0	0.0003558683524158	0.0001153826796143	0	0.0006221911765132	0.0001314030271415	0
gb|AVM85875.1|ARO:3004698|MCR-5.2	0.0017911834884134	0.0008487364403443	0.0006242397968779	0.0021359398175717	0.0006137353993978	0.0006653036852566	0.0003489302494036	2.39266817272399e-05	0.0001184659649474	0.0002308097816868	0.0001033239104699	2.35223135051494e-05	0.0001415646429441	0.0001029303896545	8.55260360665329e-05	0.0001598744487654	0	0	8.35594275093447e-05	0.0001099767937488	7.56100343544178e-05	0.0001890139536615	9.36186402162499e-05	2.47820060453881e-05
gb|CAA53189|ARO:3000521|mupA	1.35777488726896e-05	0	2.13712987580604e-05	4.03466940883143e-05	1.67231496093562e-05	0	0	0	1.22257592353771e-05	0	0	0	4.87631666418882e-05	1.57709210980632e-05	0	6.44222138415824e-05	1.89037998774302e-05	3.81214333133125e-05	1.37324428370117e-05	1.48080732586822e-05	4.61627938158011e-05	4.49923351611443e-05	1.65268231388933e-05	0.0001436287289909
gb|CDO12042.1|ARO:3005053|ArnT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002539406072004	0	0	2.61586755203312e-05
gb|KTE89608.1|ARO:3003723|vanI	0	0	0	0	0	0	0	0	0	0	0	0	0	8.91002659554023e-05	0	0	0	0	0	0	0	0	0	0
gb|QEQ43476.1|ARO:3005061|AAC(3)-IVb	4.59643111790906e-05	7.07875687390439e-05	0	0.0001861701447565	0	0.0001680006263531	0.0004148173844249	0.00091603920608	0.0013726621365148	0.0011160699360529	0.000619609693323	0.0011246530838438	0.0001662360116312	5.40458784530279e-05	0.0001879144798526	0.0001115002846351	0	4.35465233449919e-05	0.0010457811448148	0.0005255863069599	0.0014363262096223	0.0010266808728022	0.000393536997459	0.0012609847067072
gb|WP_071846200.1|ARO:3005350|DfrB9	0.0050934410086433	0.0003719032915436	0.0017938366294163	0.0033168906622247	0.0002149229397568	0.0011626530835359	0	0	0	0	0	0	0	0	0	0	0	0	0.0001562446829455	0	0	0	0	0
gi|1028098233|ref|WP_063854778.1|	0.0002251949108944	0.0002284912688456	3.69034643000491e-05	9.98095369405716e-05	0.0004649314626341	2.13758842834638e-05	0.00026715840655	0.0002035013445316	6.89044747512446e-05	0.000228047987798	0.0005579720689057	0	6.62602844474715e-05	0	4.5921599870514e-05	2.6732117910267e-05	6.80322382904664e-05	0	0.0001155782586172	8.60549008786352e-05	0.0001492434391377	5.95061052745749e-05	0.0001608604625115	0.0003361732993983
gi|1028098568|ref|WP_063855066.1|	0.000210840116808	0.0001318566215473	0.0001659305665739	0.0001533447569272	0.0001612489293471	0	5.03477579742053e-05	0	0	6.76351029490781e-05	0	0	0	0.000115101343566	0.0002525788185459	0.0002398848980864	0.0005703097555897	0.000139111348213	0.0001113598467539	0.0001080741649203	0.0002819052706272	5.47281311283776e-05	0.0001846196388461	0
gi|1033217078|gb|OAR27197.1|	0.000119608397617	0.0001164440963165	3.6800367174994e-05	0.0002299361082336	0.0001577631970433	0.0001039769728644	0.0002713836305448	0.0012068411243677	0.0005021037270444	0.0004016903631971	0.0009209242437072	0.0002717003333656	0.0003078660464173	0.0002095931796912	0.0003025973642049	0.0002727476656002	0.0002563557852236	0.0003550727135277	0.0004518357054232	0.0001710620738344	0.0006795654833513	0.0003475214955009	0.0003287114354816	0.0008981168949191
gi|1039004533|ref|WP_064760451.1|	0.0001846714050779	0.0003022896910815	0.0002250655723978	0.0001700665294238	0.0004000244906123	0.0001267639649368	0.0001967109565469	0.00027201687259	6.78836677178928e-05	0.000362499733047	0.000365516462251	9.18139617441701e-05	0.0001459064849449	0.0001163011299261	0.0001699099195209	0.0001206205320341	0.0001391568510486	0.0002546402329604	0.0004231754230854	0.0006445215334772	0.0010262028211783	0.0004129363062993	0.0006894019821922	0.0009711033494605
gi|1039291348|ref|WP_064768701.1|	0.0001684620027513	6.67024200978075e-05	0	0.0001170949874721	0.0001379273155462	2.43585658113889e-05	2.0592331539352e-05	0	5.05299481509127e-05	9.28534152272278e-05	0.0002894293619457	0	9.90557787699573e-05	0	0.0001129671356814	0	0.0001159640425405	0	0.0001498236685779	0.0004284940581681	0.0005106345768844	0	0.0001277421319944	0.0004138845929236
gi|157139469|gb|ABV24340.1|	0	0.000167619620316	0.0001065218969811	0	4.16633939820783e-05	0	0	0	0	0.0001754684274622	0	0	0.0002968390025199	0.0002026295553006	0	0.0001540141510251	0.0002515653922849	0.0002958415031066	0	0.0003175744979009	0	0	0	0
gi|223886324|gb|ACN22617.1|	0	0	0	0	0	0	0	0	0	0	0	0	0.000178916344471	0	0	0	0	0	0	0	0	0	0	0
gi|305670809|gb|ADM62671.1|	0.0009349423169115	0.0012500943741912	0.0004016703884257	0.0019224057521435	0.001429267506782	0.0004751209146226	0.0007914232449463	0.0001185434153575	4.0249413120583e-05	0.0003959865721287	0.0004847122186359	3.96394542401592e-05	0.0001551712740628	0.0004655420145964	0.0001434029515956	0.0005974499562253	0.0006315936241235	0.0001606434062256	0.0011390430281401	0.0005456976093115	4.8632408299774e-05	0.0017386075166664	0.0003677624136122	0.0001724963303239
gi|446110340|ref|WP_000188195.1|	0.0011315480254808	0.0004840338557186	0.0006741212332881	0.0008023215223569	0.0004393323892002	0.0008943145048618	0.0001347527699278	0.0001709605718081	0.0001887697475355	0.0002630147498311	0.0001394135871562	0.0001071883201392	0.0004210032413066	0.0003513994863923	0.0007597459405243	0.0004084117170639	0.0004661762463768	0.0005803243049901	0.0004082937188083	0.000505448900563	0.0005469524853447	0.0002769700996652	0.0003112655790573	0.0004412274554602
gi|446136270|ref|WP_000214125.1|	0.0003580612839432	4.48769442147404e-05	2.82369466632725e-05	0.0006269895546189	0	3.08099681426231e-05	0	3.16898239074543e-05	6.32672953170669e-05	0	0	0	0.0007906868436689	7.91481632295669e-05	2.84611618603416e-05	0.0003158550466416	0.0001456994428217	0	7.73488529433444e-05	0	0	3.72530595552075e-05	4.18897695401651e-05	0
